confusion,count
"('Summarizing', 'Process comments')",1
"('Summarizing', 'examining parallel processes')",1
"('add. countertransference', 'examining parallel processes')",1
"('add. Supervisory dyad', 'Self-disclosing & self-involving disclosures')",1
"('add. Supervisory dyad', 'immediacy')",1
"('add. Supervisory dyad', 'examining parallel processes')",1
"('immediacy', 'Process comments')",1
"('immediacy', 'Other')",1
"('Process comments', 'examining parallel processes')",1
"('examining parallel processes', 'Other')",1
"('add.multicultural issues', 'Other')",1
"('Goal-setting (s) for supervisee', 'Guided experiential learning')",1
"('Goal-setting (s) for supervisee', 'mentalizition')",1
"('Checking knowledge', 'personal share')",1
"('addressing ethical issues', 'Promoting self-assessment')",1
"('Managing\\ Planning', 'examining parallel processes')",1
"('heightening empathy', 'examining parallel processes')",1
"('personal share', 'examining parallel processes')",1
"('mentalizition', 'Process comments')",1
"('Gathering information', 'personal share')",1
"('add.multicultural issues', 'Promoting self-assessment')",1
"('immediacy', 'Being multiculturally responsive')",1
"('add.multicultural issues', 'Guided experiential learning')",1
"('Guided experiential learning', 'Being multiculturally responsive')",1
"('Providing negative feedback', 'Guided experiential learning')",1
"('Checking knowledge', 'add.multicultural issues')",1
"('Checking knowledge', 'Being multiculturally responsive')",1
"('add.multicultural issues', 'add. countertransference')",1
"('addressing ethical issues', 'mentalizition')",1
"('addressing ethical issues', 'immediacy')",1
"('Gathering information', 'Providing negative feedback')",1
"('Promoting self-assessment', 'video observation')",1
"('Providing negative feedback', 'video observation')",1
"('Prom. emotional awareness', 'video observation')",1
"('Guided experiential learning', 'video observation')",1
"('Prom. emotional awareness', 'immediacy')",1
"('Summarizing', 'Providing negative feedback')",1
"('Providing negative feedback', 'Self-disclosing & self-involving disclosures')",1
"('Providing negative feedback', 'mentalizition')",1
"('add.multicultural issues', 'addressing ethical issues')",1
"('Goal-setting (s) for supervisee', 'Providing negative feedback')",1
"('Goal-setting (s) for supervisee', 'Being multiculturally responsive')",1
"('Goal-setting (c) for client', 'Providing negative feedback')",1
"('Providing negative feedback', 'add.multicultural issues')",1
"('Providing negative feedback', 'Being multiculturally responsive')",1
"('immediacy', 'Addressing ethical issues')",1
"('Goal-setting (c) for client', 'Challenging')",1
"('Goal-setting (c) for client', 'Prom. emotional awareness')",1
"('addressing ethical issues', 'Prom. emotional awareness')",1
"('addressing ethical issues', 'add. countertransference')",1
"('Goal-setting (c) for client', 'promo. scientific thinking')",1
"('Goal-setting (c) for client', 'Guided experiential learning')",1
"('addressing ethical issues', 'Other')",1
"('promo. scientific thinking', 'Other')",1
"('Challenging', 'add.multicultural issues')",1
"('Challenging', 'Being multiculturally responsive')",1
"('Providing positive feedback', 'immediacy')",1
"('Challenging', 'immediacy')",1
"('Checking knowledge', 'addressing ethical issues')",1
"('Checking knowledge', 'Addressing ethical issues')",1
"('Checking knowledge', 'Guided experiential learning')",1
"('Gathering information', 'add. Supervisory dyad')",1
"('Challenging', 'add. Supervisory dyad')",1
"('Challenging', 'Other')",1
"('Guided experiential learning', 'add. countertransference')",1
"('Guided experiential learning', 'add. Supervisory dyad')",1
"('Guided experiential learning', 'Process comments')",1
"('promo. scientific thinking', 'Self-disclosing & self-involving disclosures')",1
"('promo. scientific thinking', 'mentalizition')",1
"('Goal-setting (c) for client', 'video observation')",1
"('addressing ethical issues', 'video observation')",1
"('video observation', 'Addressing ethical issues')",1
"('add. countertransference', 'personal share')",1
"('personal share', 'Promoting self-assessment')",1
"('Challenging', 'video observation')",1
"('promo. scientific thinking', 'Promoting self-assessment')",1
"('Gathering information', 'examining parallel processes')",1
"('Providing positive feedback', 'examining parallel processes')",1
"('Prom. emotional awareness', 'examining parallel processes')",1
"('Summarizing', 'add. Supervisory dyad')",2
"('Teaching (explaining, informing, instructing)', 'add. Supervisory dyad')",2
"('add. countertransference', 'immediacy')",2
"('add. Supervisory dyad', 'Promoting self-assessment')",2
"('Self-disclosing & self-involving disclosures', 'Process comments')",2
"('immediacy', 'examining parallel processes')",2
"('immediacy', 'Promoting self-assessment')",2
"('Process comments', 'Promoting self-assessment')",2
"('examining parallel processes', 'Promoting self-assessment')",2
"('Promoting self-assessment', 'Other')",2
"('Acknowledging', 'examining parallel processes')",2
"('Summarizing', 'Guided experiential learning')",2
"('Managing\\ Planning', 'Process comments')",2
"('Challenging', 'Process comments')",2
"('Gathering information', 'Being multiculturally responsive')",2
"('mentalizition', 'Other')",2
"('Being multiculturally responsive', 'Other')",2
"('Goal-setting (s) for supervisee', 'add.multicultural issues')",2
"('add.multicultural issues', 'Prom. emotional awareness')",2
"('Goal-setting (s) for supervisee', 'Self-disclosing & self-involving disclosures')",2
"('heightening empathy', 'personal share')",2
"('personal share', 'immediacy')",2
"('Summarizing', 'personal share')",2
"('Acknowledging', 'Providing negative feedback')",2
"('Providing positive feedback', 'Providing negative feedback')",2
"('personal share', 'Being multiculturally responsive')",2
"('Providing negative feedback', 'Challenging')",2
"('Managing\\ Planning', 'Goal-setting (c) for client')",2
"('Self-disclosing & self-involving disclosures', 'video observation')",2
"('mentalizition', 'video observation')",2
"('Providing negative feedback', 'heightening empathy')",2
"('Managing\\ Planning', 'Guided experiential learning')",2
"('Gathering information', 'video observation')",2
"('Goal-setting (c) for client', 'Promoting self-assessment')",2
"('add. countertransference', 'Addressing ethical issues')",2
"('Promoting self-assessment', 'Addressing ethical issues')",2
"('Goal-setting (c) for client', 'Being multiculturally responsive')",2
"('immediacy', 'mentalizition')",2
"('Providing positive feedback', 'Checking knowledge')",2
"('Checking knowledge', 'promo. scientific thinking')",2
"('Goal-setting (c) for client', 'add. countertransference')",2
"('Goal-setting (c) for client', 'addressing ethical issues')",2
"('Gathering information', 'Guided experiential learning')",2
"('add.multicultural issues', 'promo. scientific thinking')",2
"('promo. scientific thinking', 'Being multiculturally responsive')",2
"('Gathering information', 'add.multicultural issues')",2
"('Goal-setting (c) for client', 'personal share')",2
"('Goal-setting (c) for client', 'mentalizition')",2
"('add.multicultural issues', 'personal share')",2
"('add.multicultural issues', 'mentalizition')",2
"('Acknowledging', 'personal share')",2
"('Providing positive feedback', 'Other')",2
"('Managing\\ Planning', 'add. Supervisory dyad')",2
"('Providing positive feedback', 'add. Supervisory dyad')",2
"('Providing positive feedback', 'Process comments')",2
"('Gathering information', 'Process comments')",2
"('Managing\\ Planning', 'video observation')",2
"('promo. scientific thinking', 'add. countertransference')",2
"('Providing positive feedback', 'Self-disclosing & self-involving disclosures')",2
"('Managing\\ Planning', 'Addressing ethical issues')",3
"('Addressing ethical issues', 'Other')",3
"('Supporting', 'examining parallel processes')",3
"('Teaching (explaining, informing, instructing)', 'examining parallel processes')",3
"('add. countertransference', 'Process comments')",3
"('Self-disclosing & self-involving disclosures', 'examining parallel processes')",3
"('Self-disclosing & self-involving disclosures', 'Other')",3
"('Challenging', 'Guided experiential learning')",3
"('Managing\\ Planning', 'Challenging')",3
"('Managing\\ Planning', 'Being multiculturally responsive')",3
"('add. countertransference', 'mentalizition')",3
"('mentalizition', 'Being multiculturally responsive')",3
"('Guided experiential learning', 'Prom. emotional awareness')",3
"('Challenging', 'Self-disclosing & self-involving disclosures')",3
"('Challenging', 'mentalizition')",3
"('Goal-setting (s) for supervisee', 'add. countertransference')",3
"('Managing\\ Planning', 'personal share')",3
"('Checking knowledge', 'Self-disclosing & self-involving disclosures')",3
"('Checking knowledge', 'mentalizition')",3
"('promo. scientific thinking', 'Prom. emotional awareness')",3
"('Providing positive feedback', 'Guided experiential learning')",3
"('Supporting', 'Providing negative feedback')",3
"('addressing ethical issues', 'Self-disclosing & self-involving disclosures')",3
"('addressing ethical issues', 'personal share')",3
"('addressing ethical issues', 'Being multiculturally responsive')",3
"('Being multiculturally responsive', 'Addressing ethical issues')",3
"('Managing\\ Planning', 'addressing ethical issues')",3
"('Goal-setting (s) for supervisee', 'Goal-setting (c) for client')",3
"('mentalizition', 'Promoting self-assessment')",3
"('Providing negative feedback', 'Teaching (explaining, informing, instructing)')",3
"('Acknowledging', 'video observation')",3
"('Managing\\ Planning', 'Providing positive feedback')",3
"('Summarizing', 'video observation')",3
"('Guided experiential learning', 'Other')",3
"('Prom. emotional awareness', 'Addressing ethical issues')",3
"('Goal-setting (s) for supervisee', 'Providing positive feedback')",3
"('Goal-setting (c) for client', 'add.multicultural issues')",3
"('Goal-setting (s) for supervisee', 'heightening empathy')",3
"('promo. scientific thinking', 'Addressing ethical issues')",3
"('Summarizing', 'promo. scientific thinking')",3
"('add.multicultural issues', 'Self-disclosing & self-involving disclosures')",3
"('Goal-setting (c) for client', 'Self-disclosing & self-involving disclosures')",3
"('Prom. emotional awareness', 'add. Supervisory dyad')",3
"('Checking knowledge', 'Promoting self-assessment')",3
"('Providing positive feedback', 'video observation')",3
"('Managing\\ Planning', 'Goal-setting (s) for supervisee')",3
"('Gathering information', 'immediacy')",3
"('Checking knowledge', 'Other')",4
"('Summarizing', 'immediacy')",4
"('Teaching (explaining, informing, instructing)', 'Process comments')",4
"('Challenging', 'Promoting self-assessment')",4
"('Managing\\ Planning', 'mentalizition')",4
"('Prom. emotional awareness', 'Being multiculturally responsive')",4
"('Goal-setting (s) for supervisee', 'Other')",4
"('Checking knowledge', 'Challenging')",4
"('Acknowledging', 'mentalizition')",4
"('Managing\\ Planning', 'immediacy')",4
"('heightening empathy', 'immediacy')",4
"('Prom. emotional awareness', 'Process comments')",4
"('Acknowledging', 'immediacy')",4
"('Providing positive feedback', 'Being multiculturally responsive')",4
"('personal share', 'Addressing ethical issues')",4
"('mentalizition', 'Addressing ethical issues')",4
"('Goal-setting (c) for client', 'Summarizing')",4
"('Goal-setting (c) for client', 'Providing positive feedback')",4
"('Providing positive feedback', 'Challenging')",4
"('Goal-setting (c) for client', 'Addressing ethical issues')",4
"('heightening empathy', 'promo. scientific thinking')",4
"('Checking knowledge', 'Prom. emotional awareness')",5
"('Teaching (explaining, informing, instructing)', 'immediacy')",5
"('add. Supervisory dyad', 'Process comments')",5
"('Process comments', 'Other')",5
"('Prom. emotional awareness', 'mentalizition')",5
"('add. countertransference', 'Being multiculturally responsive')",5
"('Self-disclosing & self-involving disclosures', 'Being multiculturally responsive')",5
"('Goal-setting (s) for supervisee', 'Summarizing')",5
"('Goal-setting (s) for supervisee', 'Checking knowledge')",5
"('Teaching (explaining, informing, instructing)', 'Guided experiential learning')",5
"('Goal-setting (s) for supervisee', 'Challenging')",5
"('Gathering information', 'addressing ethical issues')",5
"('Acknowledging', 'Process comments')",5
"('Gathering information', 'promo. scientific thinking')",5
"('Self-disclosing & self-involving disclosures', 'Addressing ethical issues')",5
"('Providing positive feedback', 'promo. scientific thinking')",5
"('Goal-setting (c) for client', 'Gathering information')",5
"('Goal-setting (c) for client', 'Checking knowledge')",5
"('heightening empathy', 'Other')",5
"('Providing positive feedback', 'add. countertransference')",5
"('Providing positive feedback', 'addressing ethical issues')",5
"('add.multicultural issues', 'Addressing ethical issues')",5
"('Gathering information', 'Addressing ethical issues')",5
"('addressing ethical issues', 'promo. scientific thinking')",5
"('Acknowledging', 'add. Supervisory dyad')",5
"('Managing\\ Planning', 'add. countertransference')",6
"('Checking knowledge', 'add. countertransference')",6
"('add. countertransference', 'add. Supervisory dyad')",6
"('add. Supervisory dyad', 'Other')",6
"('Managing\\ Planning', 'Promoting self-assessment')",6
"('Summarizing', 'mentalizition')",6
"('Goal-setting (s) for supervisee', 'Prom. emotional awareness')",6
"('Managing\\ Planning', 'Checking knowledge')",6
"('personal share', 'mentalizition')",6
"('Goal-setting (s) for supervisee', 'Gathering information')",6
"('Supporting', 'video observation')",6
"('Goal-setting (c) for client', 'heightening empathy')",6
"('Goal-setting (c) for client', 'Acknowledging')",6
"('Providing positive feedback', 'Addressing ethical issues')",6
"('Summarizing', 'addressing ethical issues')",6
"('Summarizing', 'Addressing ethical issues')",6
"('Goal-setting (s) for supervisee', 'Promoting self-assessment')",6
"('Managing\\ Planning', 'Other')",7
"('Gathering information', 'Other')",7
"('Gathering information', 'mentalizition')",7
"('Supporting', 'add. Supervisory dyad')",7
"('Supporting', 'immediacy')",7
"('Summarizing', 'Challenging')",7
"('Summarizing', 'Being multiculturally responsive')",7
"('Goal-setting (s) for supervisee', 'Acknowledging')",7
"('Gathering information', 'Challenging')",7
"('Supporting', 'personal share')",7
"('heightening empathy', 'Being multiculturally responsive')",7
"('Providing positive feedback', 'add.multicultural issues')",7
"('Acknowledging', 'Guided experiential learning')",7
"('Acknowledging', 'promo. scientific thinking')",7
"('heightening empathy', 'Promoting self-assessment')",7
"('heightening empathy', 'video observation')",7
"('Providing positive feedback', 'heightening empathy')",7
"('Goal-setting (c) for client', 'Teaching (explaining, informing, instructing)')",7
"('Acknowledging', 'addressing ethical issues')",7
"('heightening empathy', 'addressing ethical issues')",7
"('Acknowledging', 'Addressing ethical issues')",8
"('add. countertransference', 'Self-disclosing & self-involving disclosures')",8
"('Self-disclosing & self-involving disclosures', 'Promoting self-assessment')",8
"('Managing\\ Planning', 'Self-disclosing & self-involving disclosures')",8
"('Challenging', 'heightening empathy')",8
"('Teaching (explaining, informing, instructing)', 'personal share')",8
"('heightening empathy', 'mentalizition')",8
"('Gathering information', 'Providing positive feedback')",8
"('Summarizing', 'Providing positive feedback')",8
"('Providing positive feedback', 'Promoting self-assessment')",8
"('Summarizing', 'Checking knowledge')",8
"('Providing positive feedback', 'Prom. emotional awareness')",8
"('heightening empathy', 'Addressing ethical issues')",8
"('Gathering information', 'add. countertransference')",9
"('Summarizing', 'Promoting self-assessment')",9
"('Summarizing', 'add.multicultural issues')",9
"('Gathering information', 'Checking knowledge')",9
"('Checking knowledge', 'Teaching (explaining, informing, instructing)')",9
"('Managing\\ Planning', 'heightening empathy')",9
"('Challenging', 'add. countertransference')",9
"('heightening empathy', 'add.multicultural issues')",9
"('Teaching (explaining, informing, instructing)', 'addressing ethical issues')",9
"('Managing\\ Planning', 'Prom. emotional awareness')",10
"('Supporting', 'Process comments')",10
"('Self-disclosing & self-involving disclosures', 'immediacy')",10
"('Prom. emotional awareness', 'Self-disclosing & self-involving disclosures')",10
"('Teaching (explaining, informing, instructing)', 'Being multiculturally responsive')",10
"('Acknowledging', 'add.multicultural issues')",10
"('Teaching (explaining, informing, instructing)', 'Addressing ethical issues')",10
"('Summarizing', 'Other')",11
"('Gathering information', 'Self-disclosing & self-involving disclosures')",11
"('add. countertransference', 'Promoting self-assessment')",11
"('Prom. emotional awareness', 'Promoting self-assessment')",11
"('Checking knowledge', 'heightening empathy')",11
"('Supporting', 'Guided experiential learning')",11
"('Challenging', 'Prom. emotional awareness')",11
"('Acknowledging', 'Challenging')",11
"('heightening empathy', 'Self-disclosing & self-involving disclosures')",11
"('Supporting', 'promo. scientific thinking')",11
"('Goal-setting (s) for supervisee', 'Teaching (explaining, informing, instructing)')",12
"('Goal-setting (s) for supervisee', 'Supporting')",12
"('Acknowledging', 'Checking knowledge')",12
"('Self-disclosing & self-involving disclosures', 'personal share')",12
"('Teaching (explaining, informing, instructing)', 'mentalizition')",12
"('Supporting', 'add.multicultural issues')",12
"('Goal-setting (c) for client', 'Supporting')",12
"('Gathering information', 'Prom. emotional awareness')",13
"('Summarizing', 'add. countertransference')",13
"('Gathering information', 'Promoting self-assessment')",13
"('Acknowledging', 'Self-disclosing & self-involving disclosures')",13
"('add.multicultural issues', 'Being multiculturally responsive')",13
"('Summarizing', 'Self-disclosing & self-involving disclosures')",14
"('Teaching (explaining, informing, instructing)', 'Promoting self-assessment')",14
"('Teaching (explaining, informing, instructing)', 'Other')",14
"('Managing\\ Planning', 'Gathering information')",14
"('Acknowledging', 'Being multiculturally responsive')",14
"('Supporting', 'Addressing ethical issues')",14
"('Supporting', 'addressing ethical issues')",14
"('Prom. emotional awareness', 'Other')",15
"('Managing\\ Planning', 'Summarizing')",15
"('Summarizing', 'Prom. emotional awareness')",16
"('add. countertransference', 'Other')",16
"('Supporting', 'mentalizition')",16
"('Managing\\ Planning', 'Teaching (explaining, informing, instructing)')",16
"('Teaching (explaining, informing, instructing)', 'add.multicultural issues')",16
"('Challenging', 'Teaching (explaining, informing, instructing)')",16
"('heightening empathy', 'Prom. emotional awareness')",17
"('Gathering information', 'heightening empathy')",17
"('addressing ethical issues', 'Addressing ethical issues')",17
"('Gathering information', 'Teaching (explaining, informing, instructing)')",18
"('Supporting', 'Challenging')",18
"('heightening empathy', 'add. countertransference')",18
"('Supporting', 'Checking knowledge')",18
"('Summarizing', 'heightening empathy')",18
"('Supporting', 'Promoting self-assessment')",19
"('Supporting', 'Providing positive feedback')",19
"('Acknowledging', 'Promoting self-assessment')",20
"('Supporting', 'Being multiculturally responsive')",20
"('Providing positive feedback', 'Teaching (explaining, informing, instructing)')",20
"('Teaching (explaining, informing, instructing)', 'Self-disclosing & self-involving disclosures')",23
"('Acknowledging', 'Providing positive feedback')",23
"('Managing\\ Planning', 'Acknowledging')",24
"('Acknowledging', 'Other')",24
"('Supporting', 'Self-disclosing & self-involving disclosures')",25
"('Self-disclosing & self-involving disclosures', 'mentalizition')",27
"('Teaching (explaining, informing, instructing)', 'add. countertransference')",27
"('Gathering information', 'Summarizing')",28
"('Acknowledging', 'add. countertransference')",31
"('Managing\\ Planning', 'Supporting')",32
"('Supporting', 'Other')",32
"('Teaching (explaining, informing, instructing)', 'Prom. emotional awareness')",32
"('Acknowledging', 'Prom. emotional awareness')",33
"('Acknowledging', 'Summarizing')",34
"('heightening empathy', 'Teaching (explaining, informing, instructing)')",34
"('Summarizing', 'Teaching (explaining, informing, instructing)')",35
"('Acknowledging', 'Gathering information')",36
"('Acknowledging', 'heightening empathy')",38
"('Supporting', 'add. countertransference')",42
"('Prom. emotional awareness', 'add. countertransference')",43
"('Gathering information', 'Supporting')",44
"('Supporting', 'Prom. emotional awareness')",44
"('Supporting', 'heightening empathy')",44
"('Acknowledging', 'Teaching (explaining, informing, instructing)')",45
"('Summarizing', 'Supporting')",48
"('Supporting', 'Teaching (explaining, informing, instructing)')",70
"('Acknowledging', 'Supporting')",108
